run_id,scenario,policy_tag,t_global,healthcare_budget,social_service_budget,sw_id,x,y,target_peh_idx
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,4,4940.0,4960.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,2,5,5,5
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,3,5,3,5
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,4,3,1,0
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,5,2,3,2
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,6,5,3,5
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,7,2,5,2
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,8,3,1,0
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,9,5,3,5
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,10,3,1,0
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,11,6,5,7
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,12,4,4,5
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,13,4,0,4
run_001,legal_norm_ON,eval_policyON,5,4910.0,4950.0,14,2,0,4
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,0,2,3,6
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,1,2,3,2
run_001,legal_norm_ON,eval_policyON,6,4880.0,4940.0,2,5,5,5
