run_id,scenario,policy_tag,agent,final_health,final_admin,final_loc,final_engagement,final_encounters,final_non_engagement
run_1768897879,legal_norm_ON,eval_policyON,peh_0,1.0,non-registered,"(0, 3)",0,4,2
run_1768897879,legal_norm_ON,eval_policyON,peh_1,4.0,registered,"(2, 2)",2,8,0
run_1768897879,legal_norm_ON,eval_policyON,peh_2,4.0,registered,"(6, 6)",2,8,0
run_1768897879,legal_norm_ON,eval_policyON,peh_3,4.0,registered,"(3, 1)",2,8,0
run_1768897879,legal_norm_ON,eval_policyON,peh_4,4.0,registered,"(2, 5)",0,2,0
run_1768897879,legal_norm_ON,eval_policyON,peh_5,4.0,registered,"(4, 3)",0,2,0
run_1768897879,legal_norm_ON,eval_policyON,peh_6,4.0,registered,"(5, 2)",0,2,0
run_1768897879,legal_norm_ON,eval_policyON,peh_7,4.0,registered,"(2, 4)",1,4,0
