run_id,scenario,policy_tag,t_global,healthcare_budget,social_service_budget,sw_id,x,y,target_peh_idx
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,0,3,1,7
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,1,5,5,4
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,2,6,2,5
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,3,2,4,3
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,4,3,3,1
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,5,4,0,6
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,6,3,4,0
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,7,6,3,5
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,8,3,6,3
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,9,1,3,0
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,10,2,1,2
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,11,0,3,2
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,12,1,4,3
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,13,2,6,3
run_001,legal_norm_ON,eval_policyON,0,5000.0,5000.0,14,4,2,7
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,0,3,1,7
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,1,5,5,4
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,2,6,2,5
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,3,2,4,3
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,4,3,3,1
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,5,4,0,6
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,6,3,3,0
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,7,6,2,5
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,8,2,6,3
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,9,1,3,0
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,10,1,1,2
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,11,1,3,2
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,12,1,5,3
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,13,2,6,3
run_001,legal_norm_ON,eval_policyON,1,5000.0,4990.0,14,4,2,7
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,0,3,1,7
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,1,5,5,4
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,2,6,2,5
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,3,2,4,3
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,4,3,3,1
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,5,4,0,6
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,6,3,3,0
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,7,6,2,5
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,8,2,6,3
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,9,1,3,0
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,10,1,1,2
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,11,1,3,2
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,12,1,5,3
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,13,2,6,3
run_001,legal_norm_ON,eval_policyON,2,5000.0,4980.0,14,4,2,7
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,0,3,1,7
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,1,5,5,4
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,2,6,2,5
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,3,2,4,3
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,4,3,3,1
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,5,4,0,6
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,6,3,3,0
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,7,6,2,5
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,8,2,6,3
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,9,1,3,0
run_001,legal_norm_ON,eval_policyON,3,5000.0,4970.0,10,1,1,2
