run_id,episode,epsilon,total_reward,mean_reward_nonreg_low,mean_reward_nonreg_mod,mean_reward_reg_low,mean_reward_reg_mod
20260127-143418,0,0.0995,-2.9488947738681723,-0.9870178278057118,-0.9878725512151436,0.19981677545358384,0.3006262166331851
20260127-143418,1,0.09900250000000001,-2.9484124688794404,-0.9870178278057118,-0.9878725512151436,0.19981677545358384,0.30086736912755097
20260127-143418,2,0.0985074875,-3.0489292932957923,-0.9870178278057118,-0.9878725512151436,0.19981677545358384,0.25060895691937507
20260127-143418,3,0.09801495006250001,-2.948929293295792,-0.9870178278057118,-0.9878725512151436,0.19981677545358384,0.30060895691937506
20260127-143418,4,0.09752487531218751,-3.1497739575518926,-0.9862087449360387,-0.9878725512151436,0.19981677545358384,0.19937754192165202
20260127-143418,5,0.09703725093562657,-3.0513921232912384,-0.9370178278057119,-0.9878725512151436,0.19981677545358384,0.19937754192165202
20260127-143418,6,0.09655206468094843,-2.848929293295792,-0.9370178278057119,-0.9878725512151436,0.19981677545358384,0.30060895691937506
20260127-143418,7,0.09606930435754368,-3.151392123291238,-0.9870178278057118,-0.9878725512151436,0.19981677545358384,0.19937754192165202
20260127-143418,8,0.09558895783575597,-2.9452088276177055,-0.9370178278057119,-0.9862707305842755,0.19981677545358384,0.250867369127551
20260127-143418,9,0.09511101304657718,-3.152554776978252,-0.9870178278057118,-0.9870634683454704,0.19842636574040423,0.19937754192165202
20260127-143418,10,0.09463545798134429,-2.9468778578931487,-0.986233262598756,-0.9878725512151436,0.19981677545358384,0.3008501094137409
20260127-143418,11,0.09416228069143756,-4.234266316177404,-0.9870178278057118,-0.9878725512151436,0.19981677545358384,-0.342059554521431
20260127-143418,12,0.09369146928798038,-5.316651400211322,-0.9862332625987561,-0.9870634683454704,-0.34131870792272606,-0.3437102612387086
20260127-143418,13,0.09322301194154048,-2.8539521638211727,-0.939770415562768,-0.9878725512151436,0.19981677545358384,0.3008501094137409
20260127-143418,14,0.09275689688183278,-2.9467146980579555,-0.9862087449360387,-0.9878725512151436,0.3013464052005525,0.19937754192165202
20260127-143418,15,0.09229311239742362,-3.1481721369210245,-0.9862169174902778,-0.9870634683454704,0.19981677545358384,0.19937754192165202
20260127-143418,16,0.0918316468354365,-4.233201434663211,-0.986225090044517,-0.9878725512151436,0.19981677545358384,-0.342319851525529
20260127-143418,17,0.09137248860125932,-2.9484124688794404,-0.9870178278057118,-0.9878725512151436,0.19981677545358384,0.30086736912755097
20260127-143418,18,0.09091562615825302,-2.8435489562714027,-0.9862169174902778,-0.9878725512151436,0.251447621442169,0.30086736912755097
